;A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;C1;C2;C3;C4;C5;D1;D2;D3;D4;D5;E1;E2;E3;E4;E5;F1;F2;F3;F4;F5;G1;G2;G3;G4;G5;H1;H2;H3;H45
m1;192;486;54;381;56;80;550;138;334;67;101;596;135;291;46;57;451;172;398;91;78;419;138;424;110;270;678;79;128;14;58;255;114;500;242;610;508;30;21
m2;21;68;9;63;11;13;101;16;37;5;17;105;19;28;3;12;87;27;38;8;15;89;22;33;13;36;89;22;23;2;19;78;19;43;13;66;94;8;4
m3;10;17;2;12;4;5;16;10;12;2;5;20;4;14;2;1;12;8;14;10;2;13;9;14;7;15;25;2;2;1;0;7;2;19;17;21;22;1;1
m4;12;32;5;16;4;4;30;7;24;4;6;28;6;27;2;5;24;9;22;9;2;20;9;25;13;21;39;2;7;0;0;14;3;28;24;38;28;3;0
m5;162;329;21;126;14;22;259;66;258;47;36;239;73;260;44;17;189;82;269;95;33;208;71;251;89;164;362;42;76;8;17;71;42;298;224;370;265;10;7
e0;23;97;16;90;14;20;138;26;52;4;26;147;29;34;4;16;141;32;44;7;27;115;33;59;6;41;145;22;29;3;31;114;24;63;8;95;125;13;7
e1;76;203;21;192;30;39;286;62;114;21;45;301;59;101;16;37;250;85;129;21;43;219;62;160;38;115;295;38;69;5;38;182;59;185;58;250;248;18;6
e2;99;263;28;168;22;37;264;69;182;28;50;260;66;175;29;20;216;80;207;57;33;188;70;230;59;135;331;37;68;9;22;75;54;293;136;309;251;12;8
e3;100;203;16;95;17;17;178;43;160;33;23;176;44;165;23;12;104;52;200;63;18;137;43;163;70;111;248;28;40;4;1;41;24;202;163;238;178;6;9
e4;48;81;2;32;3;5;52;13;78;18;9;53;17;74;13;6;34;20;74;32;4;43;16;71;32;55;84;10;15;2;1;9;10;75;71;107;54;2;3
e5;51;85;8;21;3;6;38;24;79;21;12;51;22;71;12;1;18;29;87;33;5;47;25;64;27;49;90;12;15;2;1;4;9;70;84;106;61;1;0
ma1;38;80;3;27;3;6;70;13;55;7;10;60;11;60;10;2;52;21;62;14;9;44;14;68;16;32;87;15;17;0;2;20;10;70;49;79;71;1;0
ma2;41;116;9;53;7;10;92;23;92;9;10;92;24;89;11;10;62;31;103;20;10;77;22;97;20;45;127;16;33;5;4;23;23;113;63;102;113;6;5
ma3;30;94;13;37;7;14;77;18;60;12;12;71;21;68;9;10;60;17;78;16;8;67;23;66;17;33;117;10;19;2;4;28;15;88;46;107;68;5;1
ma4;25;65;9;40;4;13;68;12;43;7;14;67;24;32;6;8;50;27;50;8;9;54;21;46;13;33;78;10;20;2;8;27;14;69;25;73;64;3;3
ma5;16;54;0;50;5;15;72;17;18;3;14;68;15;26;2;6;64;17;34;4;11;55;22;36;1;25;70;9;20;1;12;48;13;40;12;57;59;5;4
ma6;15;43;9;64;15;18;95;13;18;2;18;97;15;14;2;8;89;13;31;5;17;66;19;41;3;20;91;14;19;2;19;71;16;36;4;59;74;8;5
fa1;48;83;7;39;6;5;56;21;84;17;10;61;30;68;14;6;47;27;71;32;7;54;20;70;32;51;100;10;20;2;2;14;5;84;78;112;63;4;4
fa2;59;92;5;58;13;10;82;23;86;26;18;83;17;91;18;6;55;33;84;49;13;66;20;81;47;69;124;12;20;2;4;16;6;106;95;139;83;4;1
fa3;46;81;9;51;6;7;78;21;68;19;14;88;17;63;11;7;56;20;82;28;9;47;25;79;33;60;100;9;20;4;5;12;20;86;70;122;69;2;0
fa4;37;75;7;60;3;7;76;30;55;14;12;94;19;48;9;9;51;27;70;25;5;63;19;65;30;64;102;3;13;0;6;28;16;85;47;96;80;3;3
fa5;21;52;5;42;6;6;65;15;34;6;12;74;17;20;3;8;60;23;28;7;11;51;11;41;12;34;69;12;9;2;5;38;14;51;18;56;63;5;2
fa6;21;97;15;77;14;13;125;31;52;3;21;133;27;41;2;12;117;42;48;5;21;105;33;57;8;40;128;27;26;3;23;100;28;60;13;103;110;6;5